top - 21:37:33 up 2 days,  2:31,  2 users,  load average: 1,11, 1,56, 1,43
Tasks: 381 total,   1 running, 380 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5,6 us,  3,5 sy,  0,0 ni, 90,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15800,3 total,    640,3 free,   8206,7 used,   6953,3 buff/cache
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6649,2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     83 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     84 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     85 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     86 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdo+
     87 root       0 -20       0      0      0 I   0,0   0,0   0:09.54 kworker+
     88 root      20   0       0      0      0 S   0,0   0,0   0:15.60 kswapd0
     89 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptf+
     90 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     92 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/122+
     93 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/122+
     94 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     97 root      20   0       0      0      0 S   0,0   0,0   0:02.42 hwrng
     98 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0,0   0,0   0:09.10 kworker+
    100 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    107 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    125 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    146 root       0 -20       0      0      0 I   0,0   0,0   0:07.22 kworker+
    150 root       0 -20       0      0      0 I   0,0   0,0   0:05.63 kworker+
    162 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    164 root       0 -20       0      0      0 I   0,0   0,0   0:05.66 kworker+
    165 root       0 -20       0      0      0 I   0,0   0,0   0:06.22 kworker+
    167 root       0 -20       0      0      0 I   0,0   0,0   0:07.30 kworker+
    196 root      20   0       0      0      0 S   0,0   0,0   0:00.01 scsi_eh+
    197 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    206 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    208 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/132+
    210 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
