top - 21:37:33 up 2 days,  2:31,  2 users,  load average: 1,11, 1,56, 1,43
Tasks: 381 total,   1 running, 380 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5,6 us,  3,5 sy,  0,0 ni, 90,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15800,3 total,    640,3 free,   8206,7 used,   6953,3 buff/cache
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6649,2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 167809 monika    20   0 1392,4g 176008 123420 S   0,0   1,1   0:02.89 chrome
 167862 monika    20   0 1392,4g 194408 129436 S   0,0   1,2   0:12.96 chrome
 167994 root       0 -20       0      0      0 I   0,0   0,0   0:01.34 kworker+
 168115 root      20   0       0      0      0 I   0,0   0,0   0:00.23 kworker+
 168144 root      20   0       0      0      0 I   0,0   0,0   0:00.20 kworker+
 168296 root      20   0       0      0      0 I   0,0   0,0   0:00.04 kworker+
 168302 root      20   0       0      0      0 I   0,0   0,0   0:00.13 kworker+
 168402 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 168655 root      20   0       0      0      0 I   0,0   0,0   0:00.30 kworker+
 168695 root      20   0       0      0      0 I   0,0   0,0   0:00.27 kworker+
 168708 root      20   0       0      0      0 I   0,0   0,0   0:00.18 kworker+
 168838 root      20   0       0      0      0 I   0,0   0,0   0:00.06 kworker+
 168857 root      20   0       0      0      0 I   0,0   0,0   0:00.04 kworker+
 168870 root      20   0       0      0      0 I   0,0   0,0   0:00.15 kworker+
 168872 root      20   0       0      0      0 I   0,0   0,0   0:00.97 kworker+
 168886 root      20   0       0      0      0 I   0,0   0,0   0:00.58 kworker+
 168887 root      20   0       0      0      0 I   0,0   0,0   0:00.21 kworker+
 168893 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/19-+
 168894 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/133+
 168897 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 168954 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
 168999 root       0 -20       0      0      0 I   0,0   0,0   0:00.41 kworker+
 169000 monika    20   0 1394,0g 220032 138340 S   0,0   1,4   0:09.81 chrome
 169106 monika    20   0 3125492  58236  42368 S   0,0   0,4   0:00.89 gjs
 169386 monika    20   0 1409,8g 195196 132804 S   0,0   1,2   0:19.63 code
 169389 monika    20   0   48,5g  49664  40960 S   0,0   0,3   0:00.03 code
 169390 monika    20   0   32,5g  49920  41344 S   0,0   0,3   0:00.03 code
 169392 monika    20   0   32,5g  12528   3968 S   0,0   0,1   0:00.00 code
 169407 monika    20   0   32,0g   3328   3072 S   0,0   0,0   0:00.00 chrome_+
 169425 monika    20   0   48,9g 149732 104048 S   0,0   0,9   0:23.06 code
 169434 monika    20   0   32,3g  76868  63660 S   0,0   0,5   0:09.39 code
 169452 monika    20   0 1395,5g 337056 108324 S   0,0   2,1   1:48.82 code
 169494 monika    20   0 1393,6g 120400  78636 S   0,0   0,7   1:24.13 code
 169495 monika    20   0 1393,7g 142836  76672 S   0,0   0,9   0:16.96 code
 169575 monika    20   0 1391,9g  80608  61952 S   0,0   0,5   0:00.46 code
 169576 monika    20   0 1391,9g  80252  61824 S   0,0   0,5   0:00.44 code
 169762 monika    20   0 1391,9g  87488  66560 S   0,0   0,5   0:00.57 code
 169774 monika    20   0 1391,9g  86628  66688 S   0,0   0,5   0:00.48 code
 169801 root       0 -20       0      0      0 I   0,0   0,0   0:00.28 kworker+
 169847 monika    20   0 7456056  92908  22620 S   0,0   0,6   0:05.12 java
 170527 monika    20   0 1391,9g 121900  71296 S   0,0   0,8   0:02.39 code
 170528 monika    20   0    5380   3980   3072 S   0,0   0,0   0:06.00 pet
 170649 monika    20   0 1393,6g 110752  76672 S   0,0   0,7   0:02.27 code
 170984 monika    20   0   17744   8944   3712 S   0,0   0,1   0:00.11 bash
 171366 monika    20   0  208912  45744   9600 S   0,0   0,3   0:02.13 python3
 171368 monika    20   0 1414,5g 802572  71424 S   0,0   5,0   1:15.42 code
 171692 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 171919 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker+
 172409 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 172423 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker+
 172636 root      20   0       0      0      0 I   0,0   0,0   0:00.19 kworker+
 172830 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 172834 monika    20   0 1136008  69972  51580 S   0,0   0,4   0:03.13 nautilus
 172913 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
 173067 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 173157 monika    20   0 1394,0g  82252  61824 S   0,0   0,5   0:00.05 chrome
 173476 monika    20   0 1394,0g 128252  99204 S   0,0   0,8   0:00.30 chrome
 173691 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 174056 monika    20   0 1392,3g  75116  55808 S   0,0   0,5   0:00.04 chrome
 174274 monika    20   0  892680  52016  39524 S   0,0   0,3   0:00.79 gnome-t+
 174309 monika    20   0   17692   9088   3584 S   0,0   0,1   0:00.06 bash
 174529 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 174530 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 174620 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
 174677 root      20   0   16888   5888   4992 S   0,0   0,0   0:00.01 sudo
 174678 root      20   0   16888   2360   1408 S   0,0   0,0   0:00.00 sudo
 174679 root      20   0   26192  14080   6784 S   0,0   0,1   0:00.09 python3
 174684 root      20   0   14696   6912   6144 S   0,0   0,0   0:00.17 systemd+
